Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1520373600.0 1344.0 NA 99 NA NA NA 164 NA NA NA 935 NA NA NA 1155 NA NA
1520373600.0 1345.0 NA 92 NA NA NA 165 NA NA NA 942 NA NA NA 1132 NA NA
1520373600.0 1347.0 NA 94 NA NA NA 165 NA NA NA 933 NA NA NA 1147 NA NA
1520373600.0 1348.0 NA 100 NA NA NA 163 NA NA NA 906 NA NA NA 1137 NA NA
1520373600.0 1349.0 NA 93 NA NA NA 163 NA NA NA 911 NA NA NA 1112 NA NA
1520373600.0 135.8 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA NA
1520373600.0 1350.0 NA 90 NA NA NA 164 NA NA NA 918 NA NA NA 1095 NA NA
1520373600.0 1351.0 NA 91 NA NA NA 164 NA NA NA 930 NA NA NA 1120 NA NA
1520373600.0 1352.0 NA 91 NA NA NA 166 NA NA NA 933 NA NA NA 1139 NA NA
1520373600.0 1353.0 NA 90 NA NA NA 165 NA NA NA 970 NA NA NA 1187 NA NA
1520373600.0 1354.0 NA 91 NA NA NA 165 NA NA NA 937 NA NA NA 1145 NA NA
1520373600.0 1355.0 NA 86 NA NA NA 164 NA NA NA 1032 NA NA NA 1306 NA NA
1520373600.0 1356.0 62 98 NA NA 108 122 NA NA 5731 809 NA NA 7023 1081 NA NA
1520373600.0 136.721 NA 63 NA NA NA 138 NA NA NA 1212 NA NA NA 1486 NA NA
1520373600.0 136.779 NA 64 NA NA NA 138 NA NA NA 2180 NA NA NA 2763 NA NA
1520373600.0 136.78 NA 68 NA NA NA 144 NA NA NA 1307 NA NA NA 1624 NA NA
1520373600.0 136.7801 NA 93 0 NA NA 168 0 NA NA 851 387 NA NA 1180 472 NA
1520373600.0 136.7802 NA 100 0 NA NA 173 0 NA NA 858 431 NA NA 1225 619 NA
1520373600.0 136.7803 NA 90 NA NA NA 166 NA NA NA 1015 NA NA NA 1769 NA NA
1520373600.0 136.781 NA 66 NA NA NA 138 NA NA NA 1121 NA NA NA 1396 NA NA
1520373600.0 136.782 NA 67 NA NA NA 141 NA NA NA 1708 NA NA NA 2267 NA NA
1520373600.0 136.783 NA 68 NA NA NA 142 NA NA NA 1297 NA NA NA 1521 NA NA
1520373600.0 136.784 NA 68 NA NA NA 144 NA NA NA 1172 NA NA NA 1463 NA NA
1520373600.0 136.785 NA 78 NA NA NA 141 NA NA NA 1558 NA NA NA 2701 NA NA
1520373600.0 136.786 NA 67 NA NA NA 139 NA NA NA 1179 NA NA NA 1454 NA NA
1520373600.0 136.787 NA 66 NA NA NA 139 NA NA NA 1345 NA NA NA 1645 NA NA
1520373600.0 136.788 NA 70 NA NA NA 142 NA NA NA 1238 NA NA NA 1539 NA NA
1520373600.0 136.789 NA 65 NA NA NA 140 NA NA NA 1112 NA NA NA 1438 NA NA
1520373600.0 136.79 NA 83 NA NA NA 151 NA NA NA 1603 NA NA NA 2762 NA NA
1520373600.0 136.791 NA 73 NA NA NA 148 NA NA NA 1403 NA NA NA 1934 NA NA
1520373600.0 136.792 NA 69 NA NA NA 145 NA NA NA 1350 NA NA NA 1707 NA NA
1520373600.0 136.793 NA 67 NA NA NA 142 NA NA NA 1167 NA NA NA 1447 NA NA
1520373600.0 136.794 NA 80 NA NA NA 145 NA NA NA 1518 NA NA NA 2627 NA NA
1520373600.0 136.795 NA 68 NA NA NA 143 NA NA NA 1180 NA NA NA 1412 NA NA
1520373600.0 136.796 NA 70 NA NA NA 143 NA NA NA 1183 NA NA NA 1471 NA NA
1520373600.0 136.797 NA 75 NA NA NA 145 NA NA NA 1418 NA NA NA 1643 NA NA
1520373600.0 136.798 NA 68 NA NA NA 142 NA NA NA 1182 NA NA NA 1475 NA NA
1520373600.0 136.799 NA 75 NA NA NA 145 NA NA NA 1395 NA NA NA 1638 NA NA
1520373600.0 136.8 NA 69 NA NA NA 144 NA NA NA 1273 NA NA NA 1778 NA NA
1520373600.0 136.801 NA 70 NA NA NA 144 NA NA NA 1079 NA NA NA 1385 NA NA
1520373600.0 136.802 NA 69 NA NA NA 143 NA NA NA 1600 NA NA NA 1811 NA NA
1520373600.0 136.803 NA 72 NA NA NA 148 NA NA NA 1440 NA NA NA 1715 NA NA
1520373600.0 136.804 NA 70 NA NA NA 146 NA NA NA 1301 NA NA NA 1596 NA NA
1520373600.0 136.805 NA 70 NA NA NA 146 NA NA NA 1232 NA NA NA 1599 NA NA
1520373600.0 136.806 NA 69 NA NA NA 145 NA NA NA 1579 NA NA NA 1957 NA NA
1520373600.0 136.807 NA 68 NA NA NA 142 NA NA NA 1243 NA NA NA 1484 NA NA
